mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible
1	0	0	0	0.0	0	5/8	StaffText	6/8	1	1	0					7. Gigue					
1	0	0	0	0.0	0	5/8	Tempo	6/8	1	1	0						𝅘𝅥.=90	135.0	𝅘𝅥.	90.0	1.0
1	0	0	0	0.5	0	5/8	Chord	6/8	1	1	1/8	1/8	1	0							
2	1	1/2	1/2	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	1							
2	1	1	1	0.5	1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	2							
2	1	3/2	3/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	3							
2	1	2	2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	4							
2	1	5/2	5/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	5							
2	1	3	3	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	6							
2	1	3	3	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	7							
3	2	7/2	7/2	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	8							
3	2	5	5	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	9							
3	2	6	6	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	10							
3	2	7/2	7/2	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	11							
3	2	4	4	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	12							
3	2	9/2	9/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	13							
3	2	5	5	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	14							
3	2	11/2	11/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	15							
3	2	6	6	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	16							
4	3	13/2	13/2	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	17							
4	3	7	7	0.25	1/8	1/8	Chord	6/8	1	1	1/16	1/16	1	18							
4	3	29/4	29/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16	1/16	1	19							
4	3	15/2	15/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16	1/16	1	20							
4	3	31/4	31/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16	1/16	1	21							
4	3	8	8	0.25	3/8	3/8	Chord	6/8	1	1	1/16	1/16	1	22							
4	3	33/4	33/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16	1/16	1	23							
4	3	17/2	17/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16	1/16	1	24							
4	3	35/4	35/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16	1/16	1	25							
4	3	9	9	0.25	5/8	5/8	Chord	6/8	1	1	1/16	1/16	1	26							
4	3	37/4	37/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16	1/16	1	27							
4	3	13/2	13/2	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	28							
4	3	8	8	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	29							
5	4	19/2	19/2	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	30							
5	4	10	10	0.25	1/8	1/8	Chord	6/8	1	1	1/16	1/16	1	31							
5	4	41/4	41/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16	1/16	1	32							
5	4	21/2	21/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16	1/16	1	33							
5	4	43/4	43/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16	1/16	1	34							
5	4	11	11	1.5	3/8	3/8	Chord	6/8	1	1	3/8	1/4	3/2	35							
5	4	19/2	19/2	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	36							
5	4	10	10	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	37							
5	4	21/2	21/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	38							
5	4	11	11	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	39							
5	4	23/2	23/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	40							
5	4	12	12	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	41							
6	5	25/2	25/2	0.25	0	0	Chord	6/8	1	1	1/16	1/16	1	42							
6	5	51/4	51/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16	1/16	1	43							
6	5	13	13	0.25	1/8	1/8	Chord	6/8	1	1	1/16	1/16	1	44							
6	5	53/4	53/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16	1/16	1	45							
6	5	27/2	27/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16	1/16	1	46							
6	5	55/4	55/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16	1/16	1	47							
6	5	14	14	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	48							
